,ExerciseID,Chapter,Section,Question,Answer
1,1,1,1,Identify the variable in the expression x+5.,x
2,2,1,1,Evaluate the expression 5-x where x = 2.,3
3,3,1,1,Evaluate the expression 5x where x = 4.,20
4,4,1,1,"Given x = 5, what is the solution to the expression x+3.",8
5,5,1,1,Convert the phrase to a numerical expression. The product of a 4 and 5.,4*5
6,6,1,1,"Given a = 6, b = 5. Evaluate a-b.",1
7,7,1,1,"Given a = 3, b = 5. Evaluate a*b.",15
8,8,1,1,Convert the phrase to a variable expression. The sum of a number and 10.,x+10
9,9,1,1,Convert the phrase to a variable expression. A number divided by 2.,x/2
10,10,1,1,Convert the phrase to a numberical expression. 8 plus 6.,8+6
11,11,1,2,Write the product as an exponent. Use ^ symbol for power. 5*5*5*5.,5^4
12,12,1,2,Write the product as an exponent. Use ^ symbol for power. 3*3*3.,3^3
13,13,1,2,Evaluate the power 2^3.,8
14,14,1,2,Evaluate the power 5^2.,25
15,15,1,2,What is the base of the power 3^4.,3
16,16,1,2,What is the exponent of the power 3^4.,4
17,17,1,2,Write the product as an exponent. Use ^ symbol for power. n*n*n*n*n.,n^5
18,18,1,2,What is the base of the power 5^2?,5
19,19,1,2,Evaluate the power 4^3.,64
20,20,1,2,Evaluate the power n^2 given n = 3.,9
21,21,1,3,Evaluate the expression 10-3*2.,4
22,22,1,3,"Which of the following pair of symbols is a grouping symbol. () <> "" """,()
23,23,1,3,Evaluate the expression 14/7*2-(5-2),1
24,24,1,3,Given the numerical expression 3(4)-5*6. What does the numerical expression look like after evaluating 1 step?,12-5*6
25,25,1,3,"Which operation comes first, Addition or Multiplication?",Multiplication
26,26,1,3,"Evaluate the expression x+(y-2) given x = 3, and y = 4.",5
27,27,1,3,Evaluate the expression [18-9]*(3+2),45
28,28,1,3,"Which operation comes last, Grouping Symbols or Subtraction?",Subtraction
29,29,1,3,Evaluate the expression -2+(x+y)^2  given x = 2 and y = 3.,23
30,30,1,3,What is the exponent of the power 3^10?,10
31,31,1,4,What is the absolute value of -5?,5
32,32,1,4,What is the absolute value of 10?,10
33,33,1,4,What is the opposite number of 1?,-1
34,34,1,4,What is the opposite number of -3?,3
35,35,1,4,"Which of the following numbers is not an integer: -2, 3, 2.3, 32, -10?",2.3
36,36,1,4,"Which of the following numbers is not an integer: 10, -1, 0, 31, 2.5?",2.5
37,37,1,4,Evaluate the expression |3|+7.,10
38,38,1,4,Evaluate the expression 2-|-1|.,1
39,39,1,4,"Which of the following integers is a negative number: 1, 3, -4, 32, 10",-4
40,40,1,4,"Which of the following integers is a positive number: -2, 4, -4, -|2|, -43",4
41,41,1,5,What is the sum of -9+11?,2
42,42,1,5,What is the difference of 5 and 4?,1
43,43,1,5,Write a numerical expression that describes the following statement. Start from -6 and move 5 steps to the right.,-6+5
44,44,1,5,Write a numerical expression that describes the following statement. Start from 0 and move 10 steps to the left.,0-10
45,45,1,5,What is the sum of 10+(-2)?,8
46,46,1,5,Write a numerical expression that describes the following statement. Start from 10 and move 5 steps to the right.,10+5
47,47,1,5,Evaluate the following phrase. Start from 3 and move 10 steps the the right.,13
48,48,1,5,Evaluate the following phrase. Start from 4 and move 14 steps the the left.,-10
49,49,1,5,"Given a is a positive integer and b is a negative integer, what is the sign of a - b?",Negative
50,50,1,5,"Given a is a positive integer and b is a negative integer, what is the sign of b - a?",Negative
51,51,1,6,"Given the expression -10*3, is the product positive or negatice?",Negative
52,52,1,6,"Given the expression 3/2, is the quotient positive or negative?",Positive
53,53,1,6,"Given the expression -12/-3, is the quotient positive or negative?",Positive
54,54,1,6,"Given the expression -3*-2, is the product positive or negative?",Positive
55,55,1,6,What is the product of 2*3?,6
56,56,1,6,What is the product of 5*2*4?,40
57,57,1,6,What is the quotient of 20/5?,4
58,58,1,6,What is the quotient of 12/2?,6
59,59,1,6,"If a and b are positive integers, what sign is the product of a and b? quotient of a and b?",Positive
60,60,1,6,"If a and b are integers of different sing, what is the sign of their product? their quotient?",Negative
61,61,2,1,Which property does the following equation follow: (3+2)+1 = 3+(2+1)?,Associative Property
62,62,2,1,Which property does the following equation follow: 1+3 = 3+1?,Commutative Property
63,63,2,1,Which property does the following equation follow: (2*4)*3 = 2*(3*4)?,Associative Property
64,64,2,1,Which property does the following equation follow: 5*10 = 10*5?,Commutative Property
65,65,2,1,Which property does the following equation follow: a+b+c = c+a+b,Commutative Property
66,66,2,1,Evaluate the following expression: 12+24+4,40
67,67,2,1,Simplify the following expression: x+5-3-2,x
68,68,2,1,Evaluate the expression given a = 4. 15(a)-2,58
69,69,2,1,Which property does the following equation follow: (2/4)*3 = 2/(3*4)? None if not applicable.,None
70,70,2,1,Which property does the following equation follow: (12*21)*3 = 12*(21*4)?,Associative Property
71,71,2,2,Use the distributive property to evaluate the following expression. (10-5)*7.,35
72,72,2,2,Use the distributive property to evaluate the following expression. -2(4-3),-2
73,73,2,2,Rewrite the following expression by applying the distributive property. 3(10+2),30+20
74,74,2,2,Rewrite the following expression by applying the distributive property. 5(2x-2),10x-10
75,75,2,2,Use the distributive property to evaluate the following expression.10(2+5),70
76,76,2,2,Use the distributive property to evaluate the following expression. -4(3-2),-4
77,77,2,2,Rewrite the following expression by applying the distributive property. -10(x-y),-10x+10y
78,78,2,2,Evaluate the following expression. 10(123),1230
79,79,2,2,Evaluate the following expression. -9(7),-63
80,80,2,2,Use the distributive property to evaluate the following expression. (10-x)5,50-5x
81,81,2,3,What are terms that have a number but no variable called?,Constant Term
82,82,2,3,What are the numbers in front of a variable called?,Coefficient
83,83,2,3,What are terms called with identical variable parts?,Like Term
84,84,2,3,What are the constant terms in the following expression: 3x-2-5? Separate the response using commas.,"-2, -5"
85,85,2,3,How many constant terms are in the following expression: 3x-5y+2+4+4?,3
86,86,2,3,Simplify the following expression: 4x+2x,6x
87,87,2,3,Simplify the following expression: 2(3x+4y),6x+8y
88,88,2,3,Simplify the following expression: 7a+2b-2a+5,5a+2b+5
89,89,2,3,Identify the coefficients of the following expression: 18x+7b+4c. Separate the response using commas.,"18, 7, 4"
90,90,2,3,What are the variables in the following expression: 12m+3c-4. Separate the response using commas.,"12, 3"
91,91,2,4,"Using Inverse Operation, get the variable x on one side. x+9 = 12",x=3
92,92,2,4,"Using Inverse Operation, get the variable x on one side. 3x+4 = 10",x=2
93,93,2,4,"Using Inverse Operation, get the variable x on one side. 9x-10=8",2
94,94,2,4,"Using Inverse Operation, get the variable x on one side. x+6=13",x=-7
95,95,2,4,"Using Inverse Operation, get the variable x on one side. x/2 +4=8",8
96,96,2,4,Simplify the following expression to form equivalent equations. 4x+2x-3,6x+3
97,97,2,4,Simplify the following expression to form equivalent equations. x+y+2y-3+4,x+3y+1
98,98,2,4,Simplify the following expression to form equivalent equations. 2x+4x+5x,11x
99,99,2,4,Simplify the following expression to form equivalent equations. 8x+10+3-4,8x+9
100,100,2,4,Simplify the following expression to form equivalent equations. 2x-2x,0
101,101,3,1,Solve the following equation: 12a+24=36,a=1
102,102,3,1,Solve the following equation: 2x-5=5,x=5
103,103,3,1,Solve the following equation: -4x-2=6,x=-2
104,104,3,1,Solve the following equation: f/10 =5,f=50
105,105,3,1,Solve the following equation:19-g=10,g=9
106,106,3,1,Solve the following equation: 56=6x+2,x=9
107,107,3,1,Solve the following equation: -2x+20=-12,x=16
108,108,3,1,Solve the following equation: 5x+20=25,x=16
109,109,3,1,Solve the following equation: 5x-10=20,x=6
110,110,3,1,Solve the following equation: 7x+14=7,x=-1
111,111,3,2,Solve the following equation: 2(x+4)=20,x=16
112,112,3,2,Solve the following equation: 3m+(2m-5)=20,m=5
113,113,3,2,Solve the following equation: -3(2x-3)=9,x=0
114,114,3,2,Solve the following equation: 5+4(x-10)=17,x=13
115,115,3,2,Solve the following equation: 16=8(x-1),x=3
116,116,3,2,Solve the following equation: 21=2x-9-x,x=30
117,117,3,2,Solve the following equation: 3x+2x=30,x=6
118,118,3,2,Solve the following equation: 5+2(x-2)=19,x=9
